id,name,start_lat,start_lon,start_elev_ft,end_lat,end_lon,end_elev_ft,vertical_change_ft
KR-001,east gully,44.32547643498259,-71.29249319295754,5016.4,44.32968986401872,-71.29364063245713,3930.4,-1086.0
KR-002,great gully lower,44.32794101629398,-71.29550849698217,4419.3,44.32882184538965,-71.29449214470239,4097.8,-321.5
KR-003,iced out,44.32606934932565,-71.29304248254604,4885.2,44.32946752246429,-71.29368310531831,3979.7,-905.5
KR-004,the muffin,44.32688081210679,-71.294471867649,4639.1,44.32829214983161,-71.29467642931226,4225.7,-413.4
KR-005,narrow gully,44.32980290258428,-71.29828748467847,4629.3,44.33182186534821,-71.296754017794,3825.5,-803.8
KR-006,great gully,44.32536342415511,-71.29657226410261,5154.2,44.32888164357797,-71.29438903383283,4097.8,-1056.4
KR-007,west gully,44.32768229706768,-71.29714657580433,4816.3,44.32893391389199,-71.29452043867376,4097.8,-718.5
CAS-001,baby sister,44.31187941574354,-71.31489265461538,4898.3,44.31548120503789,-71.31734391693983,3946.9,-951.4
CAS-002,middle sister,44.3126274420764,-71.31974181984086,4753.9,44.31405926553375,-71.31906765143529,4268.4,-485.6
CAS-003,south sister,44.31271557260699,-71.31855283696505,4671.9,44.3145508984273,-71.31857414703892,4156.8,-515.1
CAS-004,north sister,44.31257112467598,-71.32071395335547,4796.6,44.31537999790429,-71.31859780264745,3956.7,-839.9
JEF-001,abby's way,44.31548498125432,-71.3046705123528,5223.1,44.3104227851267,-71.30574624438887,4124.0,-1099.1
JEF-002,jefferson headwall,44.31026751925622,-71.3102206881105,4836.0,44.3095261435758,-71.3077145850541,4281.5,-554.5
JEF-003,stealth gully,44.30563208051856,-71.30868010483428,4993.4,44.30956619032033,-71.30621624021384,4071.5,-921.9
JEF-004,the beach,44.30588424409467,-71.31092478256706,5223.1,44.30566820966273,-71.30899326014075,5036.1,-187.0
GG-001,airplane gully,44.27817867964697,-71.31179348701671,5383.9,44.28040241210928,-71.30902112898411,4547.2,-836.6
GG-002,carousel gully,44.27521217193703,-71.307253960621,5794.0,44.27583532094651,-71.30619755384792,5597.1,-196.9
GG-003,drainpipe,44.2803989102736,-71.31318020775647,5272.3,44.2815503156644,-71.31104012152218,4576.8,-695.5
GG-004,junebug gully,44.27543274773486,-71.3075872097344,5718.5,44.27656466569555,-71.30693069407606,5360.9,-357.6
GG-005,MOTHER-IN-LAW GULLY,44.27462709542708,-71.30458317161961,5941.6,44.28167331466428,-71.30875690277865,4350.4,-1591.2
GG-006,pipeline gully,44.28190978465492,-71.31535871088015,5433.1,44.28200985472222,-71.31045504755993,4498.0,-935.0
GG-007,stinkbug gully,44.27567739166365,-71.30841935151643,5725.1,44.27720103936193,-71.30745284098653,5226.4,-498.7
GG-008,the hidden hallway,44.28397597341696,-71.31547409367339,5436.4,44.28474774870085,-71.30979807513584,4379.9,-1056.4
